-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 04/26/2020 through 10/22/2020,,,,,,,,,,,
Location: Latitude  40.7412   Longitude -74.0398,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
40.74121,-74.03979,2020,4,26,4.05,7.35,6.25,6.26,8.59,4.54,7.29
40.74121,-74.03979,2020,4,27,6.91,6.58,3.47,3.48,10.07,3.16,6.24
40.74121,-74.03979,2020,4,28,14.64,9.28,4.28,4.09,16.4,1.76,9.38
40.74121,-74.03979,2020,4,29,7.75,8.95,7.13,7.15,12.98,5.23,9.35
40.74121,-74.03979,2020,4,30,5.44,12.32,11.55,11.54,14.98,9.53,12.53
40.74121,-74.03979,2020,5,1,5.95,13.19,11.26,11.27,16.61,10.66,13.44
40.74121,-74.03979,2020,5,2,11.65,13.36,8.71,8.56,19.04,7.39,13.6
40.74121,-74.03979,2020,5,3,10.66,15.81,12.78,12.67,21.63,10.97,16.13
40.74121,-74.03979,2020,5,4,12.42,12.91,8.19,7.84,18.49,6.07,13.12
40.74121,-74.03979,2020,5,5,10.44,9.31,2.46,2.25,14.84,4.4,9.41
40.74121,-74.03979,2020,5,6,6.06,9.03,5.9,5.89,12.16,6.1,8.74
40.74121,-74.03979,2020,5,7,11.21,11.11,4.58,4.41,16.33,5.13,10.97
40.74121,-74.03979,2020,5,8,6.86,7.55,4.24,4.04,9.46,2.6,7.15
40.74121,-74.03979,2020,5,9,6.72,4.52,-3.09,-3.07,7.28,0.56,3.74
40.74121,-74.03979,2020,5,10,13.88,8,2.46,2.22,14.34,0.46,7.81
40.74121,-74.03979,2020,5,11,10.05,9.04,5.6,5.51,14.49,4.44,9.02
40.74121,-74.03979,2020,5,12,10.09,8.2,1.01,0.79,13.1,3.01,7.94
40.74121,-74.03979,2020,5,13,13.78,8.5,2.11,1.89,15.03,1.25,8.39
40.74121,-74.03979,2020,5,14,14.64,12.3,7.74,7.27,18.97,4.33,12.38
40.74121,-74.03979,2020,5,15,12.64,18.38,15.64,15.51,25.05,12.42,18.78
40.74121,-74.03979,2020,5,16,10.1,17.44,13.36,13.22,22.94,12.84,17.77
40.74121,-74.03979,2020,5,17,6.78,13.6,9.86,9.86,17.09,10.3,13.31
40.74121,-74.03979,2020,5,18,6.13,13.07,9.64,9.63,16.24,10.11,13
40.74121,-74.03979,2020,5,19,8.25,12.83,7.05,6.9,17.36,9.11,12.78
40.74121,-74.03979,2020,5,20,11.18,11.23,5.31,5.26,16.46,5.28,10.99
40.74121,-74.03979,2020,5,21,14.2,12.07,7.58,7.42,18.7,4.5,11.7
40.74121,-74.03979,2020,5,22,13.36,15.64,13.38,13.2,21.85,8.49,15.69
40.74121,-74.03979,2020,5,23,11.91,16.86,14.59,14.38,22.84,10.94,16.81
40.74121,-74.03979,2020,5,24,9.69,14.2,9.7,9.53,18.93,9.24,13.84
40.74121,-74.03979,2020,5,25,10.47,16.06,13.35,13.25,21.1,10.63,15.79
40.74121,-74.03979,2020,5,26,11.7,17.98,15.66,15.5,24.12,12.42,17.89
40.74121,-74.03979,2020,5,27,10.85,18.18,15.39,15.33,23.94,13.09,18.11
40.74121,-74.03979,2020,5,28,9.12,18.91,17.25,17.18,23.02,13.9,18.89
40.74121,-74.03979,2020,5,29,8.01,20.54,19.1,19.01,25.06,17.05,20.65
40.74121,-74.03979,2020,5,30,8.89,19.77,15.35,15.19,24.75,15.85,19.94
40.74121,-74.03979,2020,5,31,10.6,14.85,7.53,7.34,19.28,8.68,14.68
40.74121,-74.03979,2020,6,1,12.48,13.75,7.43,7.18,19.31,6.83,13.55
40.74121,-74.03979,2020,6,2,10.29,15.96,11.46,11.32,20.92,10.63,15.97
40.74121,-74.03979,2020,6,3,10.53,19.84,18.58,18.43,25.13,14.6,20.11
40.74121,-74.03979,2020,6,4,10.95,21.74,18.49,18.39,27.4,16.45,21.97
40.74121,-74.03979,2020,6,5,6.7,21.22,19.58,19.54,24.84,18.14,21.35
40.74121,-74.03979,2020,6,6,11.55,22.23,18.55,18.37,27.87,16.32,22.53
40.74121,-74.03979,2020,6,7,8.46,18.25,12.45,12.35,22.7,14.23,18.27
40.74121,-74.03979,2020,6,8,12.35,18.08,11.59,11.41,23.92,11.57,18.27
40.74121,-74.03979,2020,6,9,13.84,21.05,15.83,15.59,27.63,13.79,21.29
40.74121,-74.03979,2020,6,10,8.64,22.45,20.08,20.02,26.78,18.14,22.46
