date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,2.0,0.0,9.0,2.0,-1.0,-1.0
2020-02-16,4.0,1.0,8.0,2.0,-2.0,0.0
2020-02-17,5.0,1.0,24.0,0.0,-19.0,4.0
2020-02-18,3.0,2.0,13.0,6.0,1.0,0.0
2020-02-19,3.0,0.0,15.0,5.0,2.0,0.0
2020-02-20,2.0,1.0,10.0,4.0,1.0,0.0
2020-02-21,0.0,-1.0,-12.0,0.0,0.0,1.0
2020-02-22,3.0,0.0,8.0,2.0,1.0,0.0
2020-02-23,5.0,2.0,20.0,4.0,0.0,0.0
2020-02-24,3.0,1.0,12.0,3.0,2.0,0.0
2020-02-25,3.0,1.0,6.0,5.0,2.0,0.0
2020-02-26,5.0,1.0,-9.0,4.0,1.0,0.0
2020-02-27,8.0,6.0,2.0,7.0,2.0,-1.0
2020-02-28,5.0,4.0,4.0,5.0,1.0,-1.0
2020-02-29,6.0,4.0,8.0,6.0,2.0,-2.0
2020-03-01,8.0,7.0,10.0,7.0,1.0,-1.0
2020-03-02,7.0,7.0,8.0,3.0,1.0,0.0
2020-03-03,8.0,10.0,10.0,3.0,2.0,0.0
2020-03-04,6.0,6.0,14.0,1.0,1.0,0.0
2020-03-05,5.0,5.0,8.0,2.0,1.0,0.0
2020-03-06,3.0,3.0,9.0,-1.0,1.0,0.0
2020-03-07,4.0,3.0,13.0,2.0,2.0,-1.0
2020-03-08,4.0,3.0,-1.0,1.0,0.0,1.0
2020-03-09,5.0,5.0,6.0,-1.0,0.0,0.0
2020-03-10,5.0,6.0,11.0,1.0,0.0,0.0
2020-03-11,6.0,7.0,20.0,-1.0,0.0,0.0
2020-03-12,5.0,17.0,17.0,-2.0,-1.0,0.0
2020-03-13,1.0,22.0,14.0,-8.0,-5.0,2.0
2020-03-14,-6.0,16.0,8.0,-10.0,-1.0,2.0
2020-03-15,-9.0,9.0,12.0,-13.0,-6.0,3.0
2020-03-16,-6.0,14.0,0.0,-16.0,-18.0,6.0
2020-03-17,-11.0,14.0,1.0,-18.0,-22.0,8.0
2020-03-18,-19.0,7.0,0.0,-26.0,-26.0,10.0
2020-03-19,-23.0,6.0,-7.0,-33.0,-29.0,12.0
2020-03-20,-29.0,6.0,-15.0,-38.0,-31.0,14.0
2020-03-21,-39.0,-3.0,-33.0,-42.0,-26.0,11.0
2020-03-22,-43.0,-12.0,-33.0,-49.0,-33.0,11.0
2020-03-23,-37.0,-12.0,-33.0,-46.0,-36.0,15.0
2020-03-24,-38.0,-12.0,-33.0,-46.0,-39.0,16.0
2020-03-25,-38.0,-13.0,-33.0,-48.0,-40.0,17.0
2020-03-26,-40.0,-14.0,-34.0,-51.0,-42.0,18.0
2020-03-27,-44.0,-17.0,-38.0,-55.0,-43.0,20.0
2020-03-28,-49.0,-23.0,-48.0,-59.0,-36.0,14.0
2020-03-29,-50.0,-26.0,-48.0,-63.0,-41.0,13.0
2020-03-30,-42.0,-22.0,-42.0,-55.0,-43.0,17.0
2020-03-31,-42.0,-20.0,-46.0,-52.0,-45.0,19.0
2020-04-01,-37.0,-11.0,-41.0,-53.0,-45.0,18.0
2020-04-02,-39.0,-11.0,-42.0,-55.0,-46.0,19.0
2020-04-03,-47.0,-19.0,-49.0,-59.0,-48.0,22.0
